年,月,Gogoro新領牌數,Tesla新領牌數
2018,1,3551,42
2018,2,3531,42
2018,3,5120,75
2018,4,4342,14
2018,5,5080,35
2018,6,5613,73
2018,7,6316,9
2018,8,5801,33
2018,9,7404,88
2018,10,8741,5
2018,11,8347,36
2018,12,8220,71
2019,1,7514,25
2019,2,5360,17
2019,3,9433,100
2019,4,9817,5
2019,5,11643,374
2019,6,11639,423
2019,7,11698,50
2019,8,10974,59
2019,9,11167,488
2019,10,15153,68
2019,11,18530,423
2019,12,22750,1104
2020,1,1487,112
2020,2,6154,86
2020,3,8618,1510
2020,4,7296,91
2020,5,5244,68
2020,6,5957,341
2020,7,8588,20
2020,8,6273,803
2020,9,8199,1070
2020,10,7331,19
2020,11,5815,446
2020,12,7466,1180
2021,1,1067,156
2021,2,1108,410
2021,3,5945,722
2021,4,7039,0
2021,5,6655,971
2021,6,5416,663
2021,7,5978,17
2021,8,6483,435
2021,9,7119,655
2021,10,7851,17
2021,11,8722,1227
2021,12,10550,262
2022,1,2298,1
2022,2,3332,653
2022,3,7176,1625
2022,4,4631,0
2022,5,4802,1649
2022,6,5935,598
2022,7,5901,1
2022,8,5808,1763
2022,9,6948,661
2022,10,5732,7
2022,11,5933,507
2022,12,6167,4056
2023,1,1647,69
2023,2,3503,518
2023,3,5443,2519
2023,4,3974,565
2023,5,4883,1299
2023,6,5261,2292
2023,7,4671,377
2023,8,5280,939
2023,9,5351,1240
2023,10,5919,701
2023,11,4744,812
2023,12,6017,1792
2024,1,2090,12
2024,2,2135,7
2024,3,3096,2125
2024,4,3850,11
2024,5,6049,1823
2024,6,5747,3897
2024,7,5227,646
2024,8,5120,906
2024,9,5204,2260
2024,10,5854,512
2024,11,5035,1152
2024,12,3106,1911
2025,1,779,365
2025,2,1987,959
2025,3,1913,1312
2025,4,2143,163
2025,5,2041,197
2025,6,2967,1693
2025,7,3105,1333
2025,8,2658,1976
2025,9,2986,2491
2025,10,2806,21
2025,11,2093,532
2025,12,2697,5546
2026,1,1682,6
2026,2,1510,5
