銷售量,,,,,,,,
年,月,(2859031)家用電扇 (台),(2859905)電冰箱 (台),(2859935)排油煙機 (台),(2859961)熱水器 (台),(2859965)瓦斯爐 (台),(2859992)其他家用電器及零組件 (千元), 
2017,1,"589,715","36,346","55,794","69,944","104,836","1,063,820", 
2017,2,"445,492","23,049","37,103","50,000","66,361","795,320", 
2017,3,"974,969","22,963","44,752","63,339","81,395","1,018,223", 
2017,4,"728,268","24,845","44,211","47,326","84,007","1,050,500", 
2017,5,"679,927","29,700","41,205","44,156","83,297","1,036,846", 
2017,6,"872,703","39,691","50,323","50,712","112,388","919,895", 
2017,7,"653,583","33,702","44,090","41,012","97,486","899,458", 
2017,8,"705,371","32,699","49,250","42,737","77,134","967,008", 
2017,9,"460,555","29,350","45,045","49,974","91,042","840,830", 
2017,10,"499,441","23,481","46,447","56,552","73,967","966,653", 
2017,11,"411,129","31,507","52,231","61,153","93,252","1,048,420", 
2017,12,"592,977","34,554","55,607","76,002","105,546","1,079,164", 
2018,1,"623,933","39,761","61,101","77,532","101,835","1,160,355", 
2018,2,"402,915","22,108","44,216","61,296","62,904","766,176", 
2018,3,"748,292","27,007","43,984","64,331","84,670","973,159", 
2018,4,"975,842","28,719","45,420","54,666","86,789","1,005,778", 
2018,5,"966,118","35,060","44,725","48,627","93,208","1,060,741", 
2018,6,"908,306","38,770","49,066","43,264","99,939","866,221", 
2018,7,"594,421","38,678","51,176","50,106","90,397","1,036,374", 
2018,8,"653,200","37,721","51,539","50,869","95,352","1,022,849", 
2018,9,"462,553","31,908","44,751","46,074","86,339","987,927", 
2018,10,"434,103","34,156","53,188","63,996","60,197","1,204,659", 
2018,11,"431,251","31,220","54,254","67,787","77,868","1,129,990", 
2018,12,"779,540","28,914","54,682","70,024","107,366","1,170,368", 
2019,1,"843,925","31,846","66,101","70,974","113,750","1,331,479", 
2019,2,"416,909","16,152","34,366","47,322","92,025","780,321", 
2019,3,"841,257","23,853","43,673","51,892","91,806","1,048,157", 
2019,4,"886,976","31,724","40,322","53,429","51,145","1,209,510", 
2019,5,"950,909","31,645","47,981","49,748","75,416","1,162,573", 
2019,6,"930,942","33,624","43,514","47,577","78,368","948,700", 
2019,7,"1,033,331","38,705","45,851","43,512","72,000","1,143,676", 
2019,8,"714,132","34,217","47,794","48,531","108,167","1,201,381", 
2019,9,"890,712","27,580","42,373","49,351","77,353","1,054,166", 
2019,10,"763,499","31,433","48,392","61,313","90,931","1,150,325", 
2019,11,"839,966","32,257","48,102","68,932","91,738","1,120,799", 
2019,12,"1,007,276","31,604","60,843","83,740","72,704","1,218,209", 
2020,1,"798,142","31,120","59,874","65,245","66,769","1,129,108", 
2020,2,"627,469","17,083","41,755","70,291","92,486","1,036,552", 
2020,3,"776,149","20,126","48,685","67,188","78,031","1,145,880", 
2020,4,"741,375","30,359","39,933","51,532","77,108","1,143,463", 
2020,5,"1,109,693","32,163","38,845","46,306","56,761","1,017,924", 
2020,6,"1,286,258","42,583","40,732","43,138","59,409","1,070,845", 
2020,7,"1,363,305","46,562","45,554","38,941","65,324","1,098,291", 
2020,8,"1,282,035","42,527","49,776","45,947","127,831","1,182,855", 
2020,9,"1,086,171","39,729","53,486","47,773","94,251","1,251,146", 
2020,10,"781,108","39,031","49,838","58,574","115,003","1,314,160", 
2020,11,"950,981","40,992","55,233","65,502","90,155","1,300,864", 
2020,12,"1,018,855","41,766","64,122","73,384","100,922","1,521,901", 
2021,1,"1,021,978","40,863","64,688","89,983","106,227","1,407,953", 
2021,2,"790,103","22,796","42,279","63,376","59,741","1,067,227", 
2021,3,"1,011,913","23,015","54,750","80,439","84,983","1,390,923", 
2021,4,"1,100,343","30,792","53,553","70,751","117,006","1,212,333", 
2021,5,"1,071,567","36,112","55,366","65,638","111,838","1,288,104", 
2021,6,"979,631","39,760","48,340","50,133","99,902","1,192,993", 
2021,7,"895,198","40,793","51,123","49,261","132,444","1,335,101", 
2021,8,"870,265","31,213","52,350","50,347","112,866","1,231,719", 
2021,9,"652,537","29,927","54,684","46,261","113,276","1,300,213", 
2021,10,"457,011","37,129","55,859","54,809","130,789","1,347,349", 
2021,11,"585,951","37,385","60,115","59,247","122,449","1,342,679", 
2021,12,"878,998","42,040","62,142","71,318","109,218","1,422,783", 
2022,1,"802,995","40,631","67,759","73,736","138,342","1,335,469", 
2022,2,"601,680","22,528","44,676","51,509","86,625","868,199", 
2022,3,"1,111,033","31,641","54,504","78,342","85,402","1,159,713", 
2022,4,"854,415","32,853","49,268","60,483","83,462","1,049,226", 
2022,5,"1,021,528","31,795","48,938","53,979","88,195","1,134,844", 
2022,6,"1,091,406","34,709","48,487","57,041","97,202","1,093,554", 
2022,7,"1,063,995","40,111","54,963","47,139","95,196","970,334", 
2022,8,"1,021,415","41,698","54,479","41,424","87,809","930,021", 
2022,9,"690,781","36,034","49,902","48,225","180,238","962,846", 
2022,10,"783,152","38,994","48,577","50,353","78,041","1,089,224", 
2022,11,"822,255","37,984","52,469","54,505","121,039","1,077,114", 
2022,12,"993,176","34,036","58,731","68,883","70,074","1,191,826", 
2023,1,"682,197","38,478","46,868","66,348","75,810","1,014,031", 
2023,2,"755,044","22,445","37,227","54,167","82,515","1,010,476", 
2023,3,"1,069,896","33,015","40,121","62,416","67,597","1,119,970", 
2023,4,"957,776","30,752","34,013","42,407","56,440","958,881", 
2023,5,"1,130,819","39,030","37,876","47,123","110,968","1,173,085", 
2023,6,"1,239,905","36,310","41,095","42,933","110,755","1,068,070", 
2023,7,"1,184,925","39,309","41,802","37,292","111,246","1,046,912", 
2023,8,"1,329,712","41,263","45,376","41,916","71,512","1,090,516", 
2023,9,"1,134,532","31,638","41,802","40,644","107,809","1,043,640", 
2023,10,"1,164,851","40,469","40,693","41,417","46,555","1,096,305", 
2023,11,"1,165,876","35,205","47,211","60,077","102,473","1,110,092", 
2023,12,"1,285,917","36,059","49,143","60,663","114,096","1,180,574", 
2024,1,"1,319,313","40,225","60,054","73,915","81,761","1,264,143", 
2024,2,"792,542","22,631","39,726","45,780","89,274","873,418", 
2024,3,"1,140,232","24,571","46,608","64,321","125,986","1,130,485", 
2024,4,"1,300,628","28,714","38,659","51,701","87,976","1,087,310", 
2024,5,"1,246,697","32,139","42,907","45,686","71,768","1,066,506", 
2024,6,"1,276,365","30,254","41,699","41,065","60,668","970,648", 
2024,7,"1,363,555","36,625","44,508","44,713","48,973","1,067,040", 
2024,8,"1,045,123","34,566","50,567","48,192","58,181","981,430", 
2024,9,"980,631","30,165","42,171","49,737","108,871","1,018,012", 
2024,10,"981,737","36,054","46,219","53,301","59,854","1,092,576", 
2024,11,"732,428","33,687","49,941","46,748","78,833","1,071,971", 
2024,12,"807,791","35,472","49,219","65,455","77,120","1,127,530", 
2025,1,"818,942","33,227","56,449","68,687","54,257","1,038,912", 
2025,2,"682,904","22,086","41,632","47,134","50,521","984,224", 
2025,3,"965,945","22,755","47,075","53,182","60,596","1,059,808", 
2025,4,"1,023,855","30,359","43,487","46,761","56,908","1,051,306", 
2025,5,"891,530","31,644","50,305","47,454","100,282","1,044,610", 
2025,6,"580,406","38,024","48,330","42,483","92,331","1,046,019", 
2025,7,"630,642","36,268","37,850","51,406","87,548","953,272", 
2025,8,"547,977","30,300","42,226","52,313","92,515","961,424", 
2025,9,"421,223","26,961","42,443","56,580","67,237","941,975", 
2025,10,"355,919","35,178","45,067","47,138","104,183","858,522", 
2025,11,"447,805","33,610","41,911","49,914","63,041","984,579", 
2025,12,"623,146","35,317","50,648","56,979","110,610","1,079,913", 
2026,1,"530,896","31,172","57,330","66,522","115,712","1,071,887", 
"		","		","		","		","		","		","		","		",
