銷售值 (千元), ,年, 月,家用電扇,電冰箱,排油煙機,熱水器,瓦斯爐,其他家用電器及零組件
107,1,2018.0,1,221407,554754,246553,427079,221407,1160355
107,2,2018.0,2,145624,313407,177255,313353,154936,766176
107,3,2018.0,3,314691,368054,180039,336666,200280,973159
107,4,2018.0,4,337489,432677,174846,278555,171975,1005778
107,5,2018.0,5,403688,502524,180204,251337,208238,1060741
107,6,2018.0,6,349978,594011,201869,253353,179814,866221
107,7,2018.0,7,279730,548480,215331,270252,192403,1036374
107,8,2018.0,8,256456,490784,229649,282830,216679,1022849
107,9,2018.0,9,191131,415825,194497,254489,172423,987927
107,10,2018.0,10,174523,449559,230940,334971,170936,1204659
107,11,2018.0,11,144363,485545,241605,380363,197610,1129990
107,12,2018.0,12,179922,435357,236168,374921,228988,1170368
108,1,2019.0,1,274946,517300,292074,406766,270745,1331479
108,2,2019.0,2,171013,252977,145680,242187,153541,780321
108,3,2019.0,3,307194,332345,184248,298541,175214,1048157
108,4,2019.0,4,388626,491143,171431,272814,166286,1209510
108,5,2019.0,5,455263,505646,202526,283432,196174,1162573
108,6,2019.0,6,364858,526627,196408,253835,187677,948700
108,7,2019.0,7,422631,568709,201149,240697,188604,1143676
108,8,2019.0,8,395544,483911,216019,274836,225706,1201381
108,9,2019.0,9,349057,394149,202225,272232,181832,1054166
108,10,2019.0,10,315513,460532,213806,342435,207078,1150325
108,11,2019.0,11,311533,486721,209584,375093,219895,1120799
108,12,2019.0,12,312830,493032,263271,461348,249838,1218209
109,1,2020.0,1,286485,545017,261808,366923,226311,1129108
109,2,2020.0,2,313337,254778,178453,382250,192945,1036552
109,3,2020.0,3,402612,280163,207554,389545,206192,1145880
109,4,2020.0,4,344290,455451,177965,285769,186652,1143463
109,5,2020.0,5,468021,442015,176471,257455,169871,1017924
109,6,2020.0,6,545236,591967,186600,228825,191572,1070845
109,7,2020.0,7,538678,616094,200719,228629,209780,1098291
109,8,2020.0,8,465106,534382,235409,267886,230940,1182855
109,9,2020.0,9,431811,474520,240532,268382,232565,1251146
109,10,2020.0,10,357278,477563,226129,316504,210112,1314160
109,11,2020.0,11,356514,547336,228611,350734,227864,1300864
109,12,2020.0,12,407605,543153,280016,424558,251242,1521901
110,1,2021.0,1,455349,597757,301139,502348,273513,1407953
110,2,2021.0,2,304165,304608,187970,337404,138847,1067227
110,3,2021.0,3,508078,319462,245442,441188,236792,1390923
110,4,2021.0,4,487478,480158,238464,398997,240813,1212333
110,5,2021.0,5,589342,528997,252226,365508,230222,1288104
110,6,2021.0,6,477819,550354,222717,287472,218545,1192993
110,7,2021.0,7,459068,567746,246888,275106,180982,1335101
110,8,2021.0,8,391455,467701,272565,290002,254045,1231719
110,9,2021.0,9,437218,407337,277061,255376,245522,1300213
110,10,2021.0,10,440862,503936,278564,315506,257866,1347349
110,11,2021.0,11,384222,523219,308660,359027,271034,1342679
110,12,2021.0,12,480882,603675,315607,422883,280511,1422783
111,1,2022.0,1,535908,627617,343152,466361,327174,1335469
111,2,2022.0,2,319374,355448,232410,312148,175050,868199
111,3,2022.0,3,643627,445981,301191,479065,279182,1159713
111,4,2022.0,4,591224,525638,266122,379993,238091,1049226
111,5,2022.0,5,616764,469690,281835,330998,219812,1134844
111,6,2022.0,6,591629,576402,270109,356953,216629,1093554
111,7,2022.0,7,618065,629932,328568,305407,236408,970334
111,8,2022.0,8,609008,581633,333859,282838,196398,930021
111,9,2022.0,9,490360,453933,308307,287662,269391,962846
111,10,2022.0,10,496442,549790,295193,309879,229608,1089224
111,11,2022.0,11,495681,529562,319443,336736,244015,1077114
111,12,2022.0,12,524164,519397,347416,410936,239265,1191826
112,1,2023.0,1,379019,626409,278810,414828,221656,1014031
112,2,2023.0,2,399480,298171,222653,326883,196371,1010476
112,3,2023.0,3,526011,490017,236062,383778,206139,1119970
112,4,2023.0,4,455024,476444,180337,243598,172861,958881
112,5,2023.0,5,604015,575384,207027,308242,234016,1173085
112,6,2023.0,6,596513,574785,228725,276499,229824,1068070
112,7,2023.0,7,582155,575101,236426,249522,234830,1046912
112,8,2023.0,8,625211,575884,276131,276767,219293,1090516
112,9,2023.0,9,529051,424622,244327,250635,217448,1043640
112,10,2023.0,10,502411,570339,246270,264769,183415,1096305
112,11,2023.0,11,501321,520875,277847,385769,225196,1110092
112,12,2023.0,12,543064,515122,275079,376975,252576,1180574
113,1,2024.0,1,542445,595377,325281,460529,318347,1264143
113,2,2024.0,2,376753,320325,210655,297516,249476,873418
113,3,2024.0,3,580645,394986,250991,419273,291276,1130485
113,4,2024.0,4,628040,452219,211042,348660,234537,1087310
113,5,2024.0,5,618923,509095,250483,287266,217901,1066506
113,6,2024.0,6,641894,475948,251561,270648,191528,970648
113,7,2024.0,7,695914,554136,253071,277596,232780,1067040
113,8,2024.0,8,598489,513120,295211,331843,245874,981430
113,9,2024.0,9,507435,394989,250688,302127,226107,1018012
113,10,2024.0,10,539477,537878,270943,324930,215385,1092576
113,11,2024.0,11,432791,513341,298828,305221,218331,1071971
113,12,2024.0,12,462089,511296,281279,429791,258009,1127530
114,1,2025.0,1,428767,544074,324089,461739,251922,1038912
114,2,2025.0,2,370292,275346,249665,311632,228572,984224
114,3,2025.0,3,565172,292496,282976,341252,239776,1059808
114,4,2025.0,4,560291,430507,253361,317059,226564,1051306
114,5,2025.0,5,488398,433200,295835,320989,222174,1044610
114,6,2025.0,6,445699,549803,286213,273607,234046,1046019
114,7,2025.0,7,395075,547788,219287,319592,212241,953272
114,8,2025.0,8,387090,452565,252070,360298,229048,961424
114,9,2025.0,9,315735,353921,253847,416816,199197,941975
114,10,2025.0,10,319594,537037,270483,296408,233113,858522
114,11,2025.0,11,296834,482286,244370,331791,217026,984579
114,12,2025.0,12,384038,560432,294248,373834,269538,1079913
115,1,2026.0,1,324584,496269,326589,441542,302104,1071887
		,		,,		,		,		,		,		,		,		
