年,月,Gogoro新領牌輛數
2018,1,"3,551"
2018,2,"3,531"
2018,3,"5,120"
2018,4,"4,342"
2018,5,"5,080"
2018,6,"5,613"
2018,7,"6,316"
2018,8,"5,801"
2018,9,"7,404"
2018,10,"8,741"
2018,11,"8,347"
2018,12,"8,220"
2019,1,"7,514"
2019,2,"5,360"
2019,3,"9,433"
2019,4,"9,817"
2019,5,"11,643"
2019,6,"11,639"
2019,7,"11,698"
2019,8,"10,974"
2019,9,"11,167"
2019,10,"15,153"
2019,11,"18,530"
2019,12,"22,750"
2020,1,"1,487"
2020,2,"6,154"
2020,3,"8,618"
2020,4,"7,296"
2020,5,"5,244"
2020,6,"5,957"
2020,7,"8,588"
2020,8,"6,273"
2020,9,"8,199"
2020,10,"7,331"
2020,11,"5,815"
2020,12,"7,466"
2021,1,"1,067"
2021,2,"1,108"
2021,3,"5,945"
2021,4,"7,039"
2021,5,"6,655"
2021,6,"5,416"
2021,7,"5,978"
2021,8,"6,483"
2021,9,"7,119"
2021,10,"7,851"
2021,11,"8,722"
2021,12,"10,550"
2022,1,"2,298"
2022,2,"3,332"
2022,3,"7,176"
2022,4,"4,631"
2022,5,"4,802"
2022,6,"5,935"
2022,7,"5,901"
2022,8,"5,808"
2022,9,"6,948"
2022,10,"5,732"
2022,11,"5,933"
2022,12,"6,167"
2023,1,"1,647"
2023,2,"3,503"
2023,3,"5,443"
2023,4,"3,974"
2023,5,"4,883"
2023,6,"5,261"
2023,7,"4,671"
2023,8,"5,280"
2023,9,"5,351"
2023,10,"5,919"
2023,11,"4,744"
2023,12,"6,017"
2024,1,"2,090"
2024,2,"2,135"
2024,3,"3,096"
2024,4,"3,850"
2024,5,"6,049"
2024,6,"5,747"
2024,7,"5,227"
2024,8,"5,120"
2024,9,"5,204"
2024,10,"5,854"
2024,11,"5,035"
2024,12,"3,106"
2025,1,779
2025,2,"1,987"
2025,3,"1,913"
2025,4,"2,143"
2025,5,"2,041"
2025,6,"2,967"
2025,7,"3,105"
2025,8,"2,658"
2025,9,"2,986"
2025,10,"2,806"
2025,11,"2,093"
2025,12,"2,697"
2026,1,"1,682"
2026,2,"1,510"
